Date,Open,High,Low,Close,Adj Close,Volume
2/8/22,895,895,795,825,825,50305400
2/9/22,825,825,770,815,815,11716500
2/10/22,815,835,815,825,825,6150100
2/11/22,825,830,785,790,790,1530100
2/14/22,790,790,735,740,740,2955500
2/15/22,720,735,690,695,695,3469000
2/16/22,680,710,660,705,705,1650700
2/17/22,710,720,680,715,715,1061800
2/18/22,715,720,700,720,720,397800
2/21/22,715,735,705,720,720,687400
2/22/22,680,720,670,680,680,8657100
2/23/22,680,725,635,710,710,2301300
2/24/22,710,725,680,725,725,3163100
2/25/22,715,725,705,710,710,174500
3/1/22,710,765,700,765,765,2002000
3/2/22,765,800,730,785,785,2916200
3/4/22,790,825,765,815,815,1638200
3/7/22,815,825,785,795,795,846600
3/8/22,790,810,775,795,795,748600
3/9/22,795,810,780,805,805,654600
3/10/22,805,815,795,810,810,700200
3/11/22,810,825,805,805,805,343000
3/14/22,810,810,795,800,800,104000
3/15/22,810,815,780,815,815,2625000
3/16/22,820,840,800,840,840,8538200
3/17/22,845,850,825,830,830,3103300
3/18/22,830,840,825,830,830,466000
3/21/22,835,840,815,825,825,17004100
3/22/22,830,850,825,840,840,2710500
3/23/22,845,845,835,835,835,100100
3/24/22,830,840,825,830,830,253900
3/25/22,830,835,825,830,830,265400
3/28/22,830,835,825,835,835,146400
3/29/22,835,835,825,830,830,342900
3/30/22,830,830,825,825,825,124200
3/31/22,825,830,820,820,820,247600
4/1/22,820,820,815,815,815,276700
4/4/22,815,820,810,810,810,151900
4/5/22,810,815,795,805,805,830700
4/6/22,805,815,800,800,800,92300
4/7/22,805,825,795,820,820,2385400
4/8/22,805,845,805,845,845,1478100
4/11/22,845,860,830,860,860,902000
4/12/22,860,860,845,850,850,912900
4/13/22,850,855,845,855,855,205400
4/14/22,855,865,845,845,845,983500
4/18/22,835,850,825,850,850,1634300
4/19/22,845,860,845,855,855,683400
4/20/22,865,870,850,860,860,569200
4/21/22,860,870,855,870,870,596300
4/22/22,875,900,875,880,880,1194300
4/25/22,880,900,870,900,900,874900
4/26/22,905,940,905,935,935,1473100
4/27/22,945,1010,935,995,995,6994400
4/28/22,1000,1025,960,995,995,3059400
5/9/22,990,990,945,945,945,2431800
5/10/22,945,945,895,940,940,12412700
5/11/22,940,955,940,955,955,732800
5/12/22,950,980,950,980,980,1520300
5/13/22,985,1015,970,1015,1015,1366800
5/17/22,1015,1020,990,1010,1010,683300
5/18/22,1010,1035,1000,1035,1035,1053900
5/19/22,1040,1070,1035,1070,1070,2397500
5/20/22,1070,1100,1060,1100,1100,5204200
5/23/22,1100,1120,1080,1090,1090,3347200
5/24/22,1095,1095,1055,1080,1080,2785700
5/25/22,1080,1105,1045,1105,1105,8509100
5/27/22,1105,1140,1095,1140,1140,9645300
5/30/22,1140,1200,1125,1200,1200,7571700
5/31/22,1200,1220,1170,1185,1185,13575800
6/2/22,1185,1235,1170,1235,1235,7986500
6/3/22,1240,1280,1235,1275,1275,3634100
6/6/22,1275,1335,1275,1335,1335,5928900
6/7/22,1340,1355,1310,1320,1320,7696300
6/8/22,1320,1320,1305,1310,1310,644900
6/9/22,1310,1350,1285,1350,1350,15382800
6/10/22,1345,1435,1340,1435,1435,7584900
6/13/22,1455,1640,1400,1530,1530,3295600
6/14/22,1530,1700,1530,1700,1700,8784400
6/15/22,1705,1720,1665,1680,1680,10996400
6/16/22,1680,1755,1680,1755,1755,6796600
6/17/22,1755,1755,1680,1730,1730,5502800
6/20/22,1725,1730,1695,1725,1725,2401300
6/21/22,1720,1880,1720,1745,1745,4001000
6/22/22,1745,1775,1700,1735,1735,3452900
6/23/22,1725,1750,1675,1695,1695,3556200
6/24/22,1700,1710,1645,1645,1645,4439600
6/27/22,1645,1645,1540,1570,1570,5659200
6/28/22,1570,1570,1515,1555,1555,3755600
6/29/22,1560,1595,1560,1595,1595,1807800
6/30/22,1605,1635,1565,1565,1565,844900
7/1/22,1565,1565,1520,1520,1520,2065200
7/4/22,1520,1525,1510,1520,1520,833700
7/5/22,1515,1530,1505,1530,1530,2748600
7/6/22,1525,1545,1525,1540,1540,2916100
7/7/22,1535,1570,1530,1570,1570,3304800
7/8/22,1570,1610,1570,1610,1610,3513400
7/11/22,1615,1690,1615,1690,1690,10774300
7/12/22,1690,1710,1670,1675,1675,4200100
7/13/22,1675,1685,1585,1585,1585,3543100
7/14/22,1575,1585,1500,1550,1550,2614800
7/15/22,1550,1555,1540,1545,1545,500200
7/18/22,1545,1560,1525,1535,1535,1097400
7/19/22,1535,1535,1520,1535,1535,354400
7/20/22,1535,1535,1495,1525,1525,5152100
7/21/22,1515,1525,1490,1525,1525,3152700
7/22/22,1525,1575,1525,1575,1575,2207200
7/25/22,1580,1605,1570,1595,1595,4053300
7/26/22,1600,1650,1600,1650,1650,3581400
7/27/22,1650,1715,1650,1690,1690,7227500
7/28/22,1690,1755,1690,1755,1755,3017300
7/29/22,1755,1795,1720,1770,1770,4338100
8/1/22,1780,1815,1770,1815,1815,5595200
8/2/22,1815,1815,1720,1755,1755,4562000
8/3/22,1755,1970,1720,1880,1880,4352100
8/4/22,1885,1950,1880,1925,1925,5467500
8/5/22,1925,1930,1850,1885,1885,5306400
8/8/22,1870,1870,1785,1840,1840,4858100
8/9/22,1840,1840,1745,1765,1765,5135600
8/10/22,1755,1840,1715,1840,1840,6492400
8/11/22,1840,1945,1840,1945,1945,7004800
8/12/22,1945,1960,1835,1835,1835,7538700
8/15/22,1835,1835,1810,1810,1810,974500
8/16/22,1815,1830,1770,1775,1775,2272900
8/18/22,1780,1785,1780,1780,1780,665000
8/19/22,1785,1810,1780,1810,1810,1330000
8/22/22,1810,1840,1810,1825,1825,3879000
8/23/22,1825,1845,1780,1805,1805,4886300
8/24/22,1800,1805,1760,1760,1760,2063800
8/25/22,1760,1760,1690,1690,1690,2461100
8/26/22,1685,1800,1650,1780,1780,9673600
8/29/22,1780,1820,1730,1730,1730,8744900
8/30/22,1730,1845,1680,1825,1825,12743800
8/31/22,1830,1930,1825,1860,1860,13216800
9/1/22,1860,1875,1795,1805,1805,4624300
9/2/22,1805,1815,1745,1745,1745,3959600
9/5/22,1745,1765,1710,1715,1715,5522300
9/6/22,1710,1745,1690,1730,1730,4899400
9/7/22,1730,1730,1700,1700,1700,1510900
9/8/22,1690,1695,1675,1690,1690,2028100
9/9/22,1680,1685,1660,1665,1665,1459500
9/12/22,1660,1660,1650,1650,1650,620100
9/13/22,1650,1650,1635,1645,1645,2008900
9/14/22,1640,1645,1610,1610,1610,3988000
9/15/22,1615,1615,1595,1605,1605,4018500
9/16/22,1600,1605,1595,1600,1600,1596600
9/19/22,1595,1705,1575,1705,1705,11773900
9/20/22,1700,1805,1675,1795,1795,9836000
9/21/22,1790,1880,1780,1875,1875,13175700
9/22/22,1880,2200,1865,2000,2000,10333700
9/23/22,2010,2070,1960,2020,2020,9819600
9/26/22,2020,2050,1920,1920,1920,4106700
9/27/22,1920,1965,1900,1900,1900,3565500
9/28/22,1900,1900,1845,1845,1845,3789300
9/29/22,1820,1860,1785,1785,1785,6015400
9/30/22,1785,1800,1745,1755,1755,5476800
10/3/22,1750,1840,1740,1810,1810,12122100
10/4/22,1800,1930,1800,1870,1870,10355400
10/5/22,1870,1975,1870,1960,1960,17468000
10/6/22,1960,1990,1900,1915,1915,6404300
10/7/22,1910,1915,1820,1845,1845,9665100
10/10/22,1845,1915,1820,1915,1915,8029700
10/11/22,1915,2070,1910,2060,2060,12649900
10/12/22,2080,2290,2070,2170,2170,20407900
10/13/22,2180,2310,2150,2250,2250,15159300
10/14/22,2250,2320,2230,2300,2300,7186800
10/17/22,2300,2330,2210,2240,2240,6561600
10/18/22,2240,2260,2190,2210,2210,3273800
10/19/22,2200,2220,2180,2200,2200,2834400
10/20/22,2200,2240,2140,2140,2140,3285600
10/21/22,2140,2140,2030,2040,2040,3606400
10/24/22,2040,2170,2000,2160,2160,12923900
10/25/22,2170,2250,2010,2010,2010,23759700
10/26/22,2030,2030,1895,1900,1900,3309200
10/27/22,1930,1930,1835,1895,1895,8417500
10/28/22,1895,1920,1840,1900,1900,8776100
10/31/22,1905,1950,1885,1885,1885,8085400
11/1/22,1890,2020,1800,1985,1985,29401300
11/2/22,1995,2100,1965,2000,2000,21230300
11/3/22,1995,2010,1950,1990,1990,7781100
11/4/22,2000,2000,1875,1875,1875,3671700
11/7/22,1885,1885,1785,1795,1795,3310300
11/8/22,1795,2000,1725,1955,1955,21453600
11/9/22,1960,2020,1835,1860,1860,12345200
11/10/22,1855,1860,1845,1860,1860,544900
11/11/22,1855,1860,1845,1860,1860,921300
11/14/22,1855,1855,1845,1855,1855,385400
11/15/22,1855,1860,1785,1800,1800,1794100
11/16/22,1810,1810,1760,1770,1770,2137600
11/17/22,1780,1795,1765,1780,1780,507100
11/18/22,1780,1880,1775,1775,1775,1428500